flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
3	A	1654454225.746223336	6	0x051f	192.168.2.92	192.168.2.87	1104	20000
3	B	1654454225.746240650	6	0x031b	192.168.2.87	192.168.2.92	20000	1104
2	A	1654454225.710761406	6	0x011b	192.168.2.87	192.168.2.92	45727	912
2	B	1654454225.713306037	6	0x0212	192.168.2.92	192.168.2.87	912	45727
1	A	1654454222.544559681	17	0x0000	192.168.2.86	192.168.2.255	137	137
5	A	1654454242.142634607	17	0x0000	192.168.2.92	255.255.255.255	1028	1947
4	A	1654454229.351769035	0	0x0000	-	-	0	0
6	A	1654454246.156897161	17	0x0000	192.168.2.92	192.168.2.255	1028	1947
