date,time,devname,devid,srcip,dstip,severity,attack,msg,attackid,app,appid,sessionid,repeated,app-ctrl,service,type,subtype,eventtype,url
2024-09-07,21:14:54,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Write.Multiple.Registers,,Modbus_Write.Multiple.Registers,25900,61383,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:14:54,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Write.Multiple.Registers,,Modbus_Write.Multiple.Registers,25900,61383,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:14:54,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Write.Multiple.Registers,,Modbus_Write.Multiple.Registers,25900,61383,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:14:54,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Func16.Write.MultiReg.Validation,,Modbus_Func16.Write.MultiReg.Validation,48888,61383,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:14:54,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus,,Modbus,16938,61383,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:14:54,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,,,Modbus,16938,61383,,,tcp/502,traffic,sniffer,,
,,,,,,,,,,,,,,,,,,,
