date,time,devname,devid,srcip,dstip,severity,attack,msg,attackid,app,appid,sessionid,repeated,app-ctrl,service,type,subtype,eventtype,url
2024-09-07,21:21:28,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_Setup.Communication,,S7.Protocol_Setup.Communication,42210,61413,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:21:28,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_Setup.Communication,,S7.Protocol_Setup.Communication,42210,61413,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:21:28,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_Read.Variable,,S7.Protocol_Read.Variable,42213,61413,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:21:28,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_Read.Variable,,S7.Protocol_Read.Variable,42213,61413,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:21:28,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_Read.Variable,,S7.Protocol_Read.Variable,42213,61413,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:21:28,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_Write.Variable,,S7.Protocol_Write.Variable,42214,61413,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:21:28,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_Write.Variable,,S7.Protocol_Write.Variable,42214,61413,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:21:28,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_Write.Variable,,S7.Protocol_Write.Variable,42214,61413,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:21:29,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,,,S7.Protocol_Write.Variable,42214,61413,,,tcp/102,traffic,sniffer,,
