apprisk,type,tz,time,appcat,action,proto,dstserver,filesize,srcmac,sentpkt,app,msg,dstport,subtype,cloudaction,trandisp,sentdelta,srcintfrole,transip,srcintf,durationdelta,appid,sessionid,rcvdpkt,incidentserialno,srcserver,direction,masterdstmac,filename,clouduser,logid,dstintf,dstintfrole,rcvddelta,utmaction,policytype,mastersrcmac,srcport,transport,sentbyte,poluuid,vd,dstmac,duration,dstip,srcip,srccountry,dstcountry,rcvdpktdelta,rcvdbyte,level,sentpktdelta,policyid,devname,applist,service,countapp,devid,date,eventtype,eventtime
elevated,utm,-0700,21:14:54,Operational.Technology,pass,6,,15,,,Modbus_Write.Multiple.Registers,Operational.Technology: Modbus_Write.Multiple.Registers,502,app-ctrl,others,,,undefined,,port7,,25900,61383,,206427884,,outgoing,,00 0a 00 05 0a 07 d0 0b b8 0f a0 13 88 17 70,192.168.100.2,1059028704,port7,undefined,,,sniffer,,38803,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768893970464325
elevated,utm,-0700,21:14:54,Operational.Technology,pass,6,,,,,Modbus_Write.Multiple.Registers,Operational.Technology: Modbus_Write.Multiple.Registers,502,app-ctrl,,,,undefined,,port7,,25900,61383,,206427885,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,38803,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768893970551416
elevated,utm,-0700,21:14:54,Operational.Technology,pass,6,,4,,,Modbus_Write.Multiple.Registers,Operational.Technology: Modbus_Write.Multiple.Registers,502,app-ctrl,others,,,undefined,,port7,,25900,61383,,206427886,,incoming,,00 0a 00 05,192.168.100.3,1059028704,port7,undefined,,,sniffer,,38803,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768893970950969
elevated,utm,-0700,21:14:54,Operational.Technology,pass,6,,,,,Modbus_Func16.Write.MultiReg.Validation,Operational.Technology: Modbus_Func16.Write.MultiReg.Validation,502,app-ctrl,,,,undefined,,port7,,48888,61383,,206427887,,incoming,,,,1059028704,port7,undefined,,,sniffer,,38803,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768893971014049
elevated,utm,-0700,21:14:54,Operational.Technology,pass,6,,,,,Modbus,Operational.Technology: Modbus,502,app-ctrl,,,,undefined,,port7,,16938,61383,,206427888,,incoming,,,,1059028704,port7,undefined,,,sniffer,,38803,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768893971077215
elevated,traffic,-0700,21:14:54,Industrial,accept,6,0,,08:00:27:27:0f:cb,6,Modbus,,502,sniffer,,snat,24,undefined,0.0.0.0,port7,1,16938,61383,4,,0,,08:00:27:b0:47:08,,,0004000017,port7,undefined,13,allow,sniffer,08:00:27:27:0f:cb,38803,0,24,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,08:00:27:b0:47:08,1,192.168.100.3,192.168.100.2,Reserved,Reserved,4,13,notice,6,4,FGDIT,,tcp/502,6,FGVM02TM24011031,2024-09-07,,1725768894469061286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
