apprisk,type,tz,time,appcat,action,proto,dstserver,filesize,srcmac,sentpkt,app,msg,dstport,subtype,cloudaction,trandisp,sentdelta,srcintfrole,transip,srcintf,durationdelta,appid,sessionid,rcvdpkt,incidentserialno,srcserver,direction,masterdstmac,filename,clouduser,logid,dstintf,dstintfrole,rcvddelta,utmaction,policytype,parameters,mastersrcmac,srcport,transport,sentbyte,poluuid,vd,dstmac,duration,dstip,srcip,srccountry,dstcountry,rcvdpktdelta,rcvdbyte,level,sentpktdelta,policyid,devname,applist,service,countapp,devid,date,eventtype,eventtime
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61391,,206427934,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,45237,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092045087103
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,4,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,others,,,undefined,,port7,,25873,61393,,206427939,,outgoing,,00 01 00 00,192.168.100.2,1059028704,port7,undefined,,,sniffer,,,38039,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092046120425
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,6,,,Modbus_Func04.Read.Input.Validation,Operational.Technology: Modbus_Func04.Read.Input.Validation,502,app-ctrl,others,,,undefined,,port7,,48884,61393,,206427940,,outgoing,,"UnitID=5,Ref=1-0,Data=00 00",192.168.100.2,1059028704,port7,undefined,,,sniffer,"UnitID:5, Address:1, Address:0",,38039,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092046215948
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61393,,206427941,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,38039,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092046310368
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61393,,206427942,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,38039,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092046433609
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,4,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,others,,,undefined,,port7,,25873,61395,,206427947,,outgoing,,00 01 00 00,192.168.100.2,1059028704,port7,undefined,,,sniffer,,,36237,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092050182841
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,6,,,Modbus_Func04.Read.Input.Validation,Operational.Technology: Modbus_Func04.Read.Input.Validation,502,app-ctrl,others,,,undefined,,port7,,48884,61395,,206427948,,outgoing,,"UnitID=7,Ref=1-0,Data=00 00",192.168.100.2,1059028704,port7,undefined,,,sniffer,"UnitID:7, Address:1, Address:0",,36237,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092050298872
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61395,,206427949,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,36237,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092050386446
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61395,,206427950,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,36237,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092050514319
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,4,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,others,,,undefined,,port7,,25873,61397,,206427955,,outgoing,,00 01 00 00,192.168.100.2,1059028704,port7,undefined,,,sniffer,,,43713,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092051561351
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,6,,,Modbus_Func04.Read.Input.Validation,Operational.Technology: Modbus_Func04.Read.Input.Validation,502,app-ctrl,others,,,undefined,,port7,,48884,61397,,206427956,,outgoing,,"UnitID=9,Ref=1-0,Data=00 00",192.168.100.2,1059028704,port7,undefined,,,sniffer,"UnitID:9, Address:1, Address:0",,43713,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092051651972
