apprisk,type,tz,time,appcat,action,proto,dstserver,srcmac,sentpkt,app,msg,dstport,subtype,httpmethod,trandisp,sentdelta,srcintfrole,transip,srcintf,durationdelta,appid,sessionid,rcvdpkt,incidentserialno,srcserver,direction,masterdstmac,logid,dstintf,dstintfrole,rcvddelta,utmaction,policytype,mastersrcmac,srcport,transport,sentbyte,poluuid,url,vd,hostname,dstmac,duration,dstip,agent,srcip,srccountry,dstcountry,rcvdpktdelta,rcvdbyte,level,sentpktdelta,policyid,devname,applist,service,countapp,devid,date,eventtype,eventtime
medium,utm,-0700,21:28:50,Web.Client,pass,6,,,,HTTP.BROWSER_IE,Web.Client: HTTP.BROWSER_IE,8088,app-ctrl,GET,,,undefined,,port7,,34038,61419,,206428087,,outgoing,,1059028704,port7,undefined,,,sniffer,,36493,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,/system/gwinfo,root,192.168.2.91,,,192.168.2.91,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),192.168.2.87,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,HTTP,,FGVM02TM24011031,2024-09-07,signature,1725769729769464501
medium,utm,-0700,21:28:50,Web.Client,pass,6,,,,HTTP.BROWSER_IE,Web.Client: HTTP.BROWSER_IE,8088,app-ctrl,GET,,,undefined,,port7,,34038,61418,,206428086,,outgoing,,1059028704,port7,undefined,,,sniffer,,42069,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,/system/gwinfo,root,192.168.2.91,,,192.168.2.91,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),192.168.2.87,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,HTTP,,FGVM02TM24011031,2024-09-07,signature,1725769729765822080
medium,traffic,-0700,21:28:51,Web.Client,accept,6,0,08:00:27:50:4c:14,6,HTTP.BROWSER_IE,,8088,sniffer,,snat,121,undefined,0.0.0.0,port7,1,34038,61419,4,,0,,74:86:7a:65:6e:97,0004000017,port7,undefined,455,allow,sniffer,08:00:27:50:4c:14,36493,0,121,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,,74:86:7a:65:6e:97,1,192.168.2.91,,192.168.2.87,Reserved,Reserved,4,455,notice,6,4,FGDIT,,tcp/8088,1,FGVM02TM24011031,2024-09-07,,1725769730532458515
medium,traffic,-0700,21:28:51,Web.Client,accept,6,0,08:00:27:50:4c:14,6,HTTP.BROWSER_IE,,8088,sniffer,,snat,121,undefined,0.0.0.0,port7,1,34038,61418,4,,0,,74:86:7a:65:6e:97,0004000017,port7,undefined,455,allow,sniffer,08:00:27:50:4c:14,42069,0,121,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,,74:86:7a:65:6e:97,1,192.168.2.91,,192.168.2.87,Reserved,Reserved,4,455,notice,6,4,FGDIT,,tcp/8088,1,FGVM02TM24011031,2024-09-07,,1725769730532068211
