apprisk,type,tz,time,appcat,action,proto,dstserver,filesize,srcmac,sentpkt,app,msg,dstport,subtype,cloudaction,trandisp,sentdelta,srcintfrole,transip,srcintf,durationdelta,appid,sessionid,rcvdpkt,incidentserialno,srcserver,direction,masterdstmac,filename,clouduser,logid,dstintf,dstintfrole,rcvddelta,utmaction,policytype,parameters,mastersrcmac,srcport,transport,sentbyte,poluuid,vd,dstmac,duration,dstip,srcip,srccountry,dstcountry,rcvdpktdelta,rcvdbyte,level,sentpktdelta,policyid,devname,applist,service,countapp,devid,date,eventtype,eventtime
elevated,utm,-0700,21:23:56,Operational.Technology,pass,6,,4,,,Modbus_Read.Holding.Registers,Operational.Technology: Modbus_Read.Holding.Registers,502,app-ctrl,others,,,undefined,,port7,,25855,61416,,206428036,,outgoing,,00 0a 00 0a,192.168.100.2,1059028704,port7,undefined,,,sniffer,,,38837,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769435481101146
elevated,utm,-0700,21:23:56,Operational.Technology,pass,6,,6,,,Modbus_Func03.Read.Holding.Validation,Operational.Technology: Modbus_Func03.Read.Holding.Validation,502,app-ctrl,others,,,undefined,,port7,,48883,61416,,206428037,,outgoing,,"UnitID=1,Ref=10-19,Data=00 0a",192.168.100.2,1059028704,port7,undefined,,,sniffer,"UnitID:1, Address:10, Address:19",,38837,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769435481484985
elevated,utm,-0700,21:23:56,Operational.Technology,pass,6,,,,,Modbus_Read.Holding.Registers,Operational.Technology: Modbus_Read.Holding.Registers,502,app-ctrl,,,,undefined,,port7,,25855,61416,,206428038,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,38837,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769435481739165
elevated,utm,-0700,21:23:56,Operational.Technology,pass,6,,,,,Modbus_Func03.Read.Holding.Validation,Operational.Technology: Modbus_Func03.Read.Holding.Validation,502,app-ctrl,,,,undefined,,port7,,48883,61416,,206428039,,incoming,,,,1059028704,port7,undefined,,,sniffer,,,38837,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769435482364533
elevated,utm,-0700,21:23:56,Operational.Technology,pass,6,,21,,,Modbus_Read.Holding.Registers,Operational.Technology: Modbus_Read.Holding.Registers,502,app-ctrl,others,,,undefined,,port7,,25855,61416,,206428040,,incoming,,14 00 32 00 14 00 1e 00 c8 00 00 00 64 00 00 00 21 00 22 00 00,192.168.100.3,1059028704,port7,undefined,,,sniffer,,,38837,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769435482641855
elevated,utm,-0700,21:23:56,Operational.Technology,pass,6,,,,,Modbus,Operational.Technology: Modbus,502,app-ctrl,,,,undefined,,port7,,16938,61416,,206428041,,incoming,,,,1059028704,port7,undefined,,,sniffer,,,38837,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769435482878239
elevated,traffic,-0700,21:23:56,Industrial,accept,6,0,,08:00:27:27:0f:cb,6,Modbus,,502,sniffer,,snat,13,undefined,0.0.0.0,port7,0,16938,61416,4,,0,,08:00:27:b0:47:08,,,0004000017,port7,undefined,30,allow,sniffer,,08:00:27:27:0f:cb,38837,0,13,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,08:00:27:b0:47:08,0,192.168.100.3,192.168.100.2,Reserved,Reserved,4,30,notice,6,4,FGDIT,,tcp/502,6,FGVM02TM24011031,2024-09-07,,1725769435509403202
